authorID,authorName,biography
1,Alex Michaelides,"Alex Michaelides is a Cyprus-born author known for his debut novel"
2,Delia Owens,"Delia Owens is an American wildlife scientist and author. Her first novel"
3,Colleen Hoover,"Colleen Hoover is a bestselling American author of contemporary romance and young adult novels"
4,Matt Haig,"Matt Haig is an English author and journalist known for his novels including ""The Midnight Library"" and ""Reasons to Stay Alive."""
5,Kristin Hannah,"Kristin Hannah is an American novelist best known for her historical fiction works like ""The Nightingale"" and ""The Four Winds."""
6,Brit Bennett,"Brit Bennett is a New York Times bestselling author from Southern California. Her notable works include ""The Mothers"" and ""The Vanishing Half."""
7,James Clear,"James Clear is an American author and speaker focused on habits"
8,Amor Towles,"Amor Towles is an American novelist from the Boston area. His works"
9,Tara Westover,"Tara Westover is an American memoirist known for her bestselling memoir ""Educated"" about her journey from isolation to earning a PhD."
10,Michelle Obama,"Michelle Obama is an American attorney and author who served as First Lady of the United States"
11,Lucy Fokley,"Lucy Foley is a British author of historical fiction and contemporary crime thrillers"
12,Madeline Miller,"Madeline Miller is an American novelist"
13,Andy Weir,"Andy Weir is an American science fiction author and programmer. His 2011 novel"
14,Taylor Jenkins Reid,"Taylor Jenkins Reid is an American author known for her novels about fictional celebrities"
15,Kazuo Ishiguro,"Kazuo Ishiguro is a British novelist and Nobel Prize laureate known for works like ""Never Let Me Go"" and ""The Remains of the Day."""
16,Liane Moriarty,"Liane Moriarty is an Australian author known for her suspense novels including ""Big Little Lies"" which was adapted into an HBO series."
17,Marijn Haverbeke,"Marijn Haverbeke is a Dutch programmer and author known for his book ""Eloquent JavaScript."""
18,Robert C. Martin,"Robert C. Martin (Uncle Bob) is an American software engineer and author"
19,Andrew Hunt,"Andrew Hunt is an award-winning artist"
20,Thomas H. Cormen,"Thomas H. Cormen is a computer scientist and co-author of ""Introduction to Algorithms"
21,Joshua Bloch,"Joshua Bloch is an American software engineer and author"
22,Eric Freeman,"Eric Freeman is a computer scientist and author"
23,Eric Evans,"Eric Evans is an American software engineer and author"
24,Yuval Noah Harari,"Yuval Noah Harari is an Israeli historian and author of popular science books including ""Sapiens"" and ""Homo Deus."""
25,Frank Herbert,"Frank Herbert was an American science fiction author best known for the ""Dune"" series."
26,J.R.R. Tolkien,"J.R.R. Tolkien was an English writer"
27,Douglas Adams,"Douglas Adams was a British author known for his unique blend of comedy and science fiction"
28,George Orwell,"George Orwell was an English novelist and essayist known for his dystopian novel ""1984"" and allegorical novella ""Animal Farm."""
29,Suzanne Collins,"Suzanne Collins is an American television writer and author"
30,Stephen Hawking,"Stephen Hawking was an English theoretical physicist and author of ""A Brief History of Time."""
31,Cormac McCarthy,"Cormac McCarthy was an American novelist and playwright"
32,J.D. Salinger,"J.D. Salinger was an American writer best known for his 1951 novel ""The Catcher in the Rye."""
33,Harper Lee,"Harper Lee was an American novelist best known for her 1960 novel ""To Kill a Mockingbird."""
34,F. Scott Fitzgerald,"F. Scott Fitzgerald was an American novelist and short story writer"
35,Ernest Hemingway,"Ernest Hemingway was an American novelist and short-story writer"
36,John Steinbeck,"John Steinbeck was an American author and Nobel Prize winner known for novels like ""Of Mice and Men"" and ""The Grapes of Wrath."""
37,Arthur Conan Doyle,Arthur Conan Doyle was a Scottish writer best known for his creation of the detective Sherlock Holmes. He was also a physician and a proponent of spiritualism.
38,Mary Shelley,"Mary Shelley was an English novelist best known for her Gothic novel ""Frankenstein; or"
39,Bram Stoker,"Bram Stoker was an Irish author"
40,Jane Austen,"Jane Austen was an English novelist known for her six major novels"
41,Charlotte Brontë,"Charlotte Brontë was an influential English novelist and poet"
42,Emily Brontë,"Emily Brontë was an English novelist and poet best known for her only novel"
43,Charles Dickens,Charles Dickens was an English novelist and social critic who created some of the world's best-known fictional characters. He is considered the greatest novelist of the Victorian era.
44,Oscar Wilde,"Oscar Wilde was an Irish poet and playwright"
45,Herman Melville,"Herman Melville was an American novelist"
46,Homer,"Homer was the presumed author of the Iliad and the Odyssey"
47,Dante Alighieri,"Dante Alighieri was an Italian poet"
48,Niccolò Machiavelli,"Niccolò Machiavelli was an Italian diplomat"
49,Leo Tolstoy,"Leo Tolstoy was a Russian writer regarded as one of the greatest authors of all time"
50,Fyodor Dostoevsky,"Fyodor Dostoevsky was a Russian novelist"
51,Miguel de Cervantes,"Miguel de Cervantes was a Spanish writer best known for his novel ""Don Quixote."""
52,Paulo Coelho,"Paulo Coelho is a Brazilian lyricist and novelist"
53,Gabriel Garcia Marquez,"Gabriel García Márquez was a Colombian novelist and Nobel Prize winner"
54,Albert Camus,"Albert Camus was a French philosopher"
55,Franz Kafka,"Franz Kafka was a German-speaking Bohemian novelist and short-story writer"
56,Chinua Achebe,"Chinua Achebe was a Nigerian novelist"
57,Toni Morrison,"Toni Morrison was an American novelist and Nobel Prize winner"
58,Alice Walker,"Alice Walker is an American writer"
59,Margaret Atwood,"Margaret Atwood is a Canadian poet"
60,Ta-Nehisi Coates,"Ta-Nehisi Coates is an American author and journalist known for his works on cultural"
61,Eckhart Tolle,"Eckhart Tolle is a German-born spiritual teacher and author of ""The Power of Now"" and ""A New Earth."""
62,Don Miguel Ruiz,"Don Miguel Ruiz is a Mexican author of a series of books"
63,Stephen R. Covey,"Stephen R. Covey was an American educator and author"
64,Dale Carnegie,"Dale Carnegie was an American writer and teacher of self-improvement and public speaking. He is the author of the best-selling book ""How to Win Friends and Influence People."""
65,Peter Thiel,"Peter Thiel is a German-American entrepreneur and author"
66,Ernest Cline,"Ernest Cline is an American novelist"
67,George R.R. Martin,"George R.R. Martin is an American novelist and short story writer"
68,Patrick Rothfuss,"Patrick Rothfuss is an American writer of epic fantasy"
69,Brandon Sanderson,"Brandon Sanderson is an American author of high fantasy and science fiction. He is known for the ""Mistborn"" series and completing ""The Wheel of Time"" series after Robert Jordan's death."
70,Stieg Larsson,"Stieg Larsson was a Swedish journalist and writer"
71,Gillian Flynn,"Gillian Flynn is an American author"
72,Paula Hawkins,"Paula Hawkins is a British author best known for her psychological thriller ""The Girl on the Train."""
73,Fredrik Backman,"Fredrik Backman is a Swedish author and blogger"
74,Richard Osman,"Richard Osman is an English television presenter"
75,Laura Dave,"Laura Dave is an American author known for her novels including ""The Last Thing He Told Me."""
76,V.E. Schwab,"V.E. Schwab is an American author of fantasy and science fiction"
77,Sarah J. Maas,"Sarah J. Maas is an American fantasy author known for her ""Throne of Glass"" and ""A Court of Thorns and Roses"" series."
78,Leigh Bardugo,"Leigh Bardugo is an American fantasy author known for her ""Grishaverse"" novels including ""Six of Crows."""
79,Tomi Adeyemi,"Tomi Adeyemi is a Nigerian-American writer and creative writing coach"
80,William P. Young,"William P. Young is a Canadian author best known for his novel ""The Shack."""
81,Khaled Hosseini,"Khaled Hosseini is an Afghan-American novelist and physician"
82,Sue Monk Kidd,"Sue Monk Kidd is an American writer"
83,Yann Martel,"Yann Martel is a Canadian author best known for his novel ""Life of Pi"""
